Flinn_product_category,Flinn_product_sub_category,Flinn_product_id,Flinn_product_name,Flinn_product_quantity,Flinn_product_price,Flinn_product_url,Flinn_image_url
STEM Education,Flinn STEM Design Challenge™ Kits,AP10098,"Solar-Powered Cars: Flinn STEM Design Challenge™, Full-Size Lab Kit, Refill",1,$165.00,https://www.flinnsci.com/solar-powered-cars-flinn-stem-design-challenge-full-size-lab-kit-refill/ap10098/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8049_a.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP10324,"Building Bridges: Flinn STEM Design Challenge™, Small-Size Lab Kit, Refill",1,$72.17,https://www.flinnsci.com/building-bridges-flinn-stem-design-challenge-small-size-lab-kit-refill/ap10324/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8062_2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP10246,"Building Bridges: Flinn STEM Design Challenge™, Small-Size Lab Kit",1,$78.17,https://www.flinnsci.com/building-bridges-flinn-stem-design-challenge-small-size-lab-kit/ap10246/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8062_2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP10168,"Building Bridges: Flinn STEM Design Challenge™, Full-Size Lab Kit, Refill",1,$112.07,https://www.flinnsci.com/building-bridges-flinn-stem-design-challenge-full-size-lab-kit-refill/ap10168/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8062_2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP10318,"Build a Model Catapult: Flinn STEM Design Challenge™, Small-Size Lab Kit, Refill",1,$26.00,https://www.flinnsci.com/build-a-model-catapult-flinn-stem-design-challenge-small-size-lab-kit-refill/ap10318/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8054_2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP10240,"Build a Model Catapult: Flinn STEM Design Challenge™, Small-Size Lab Kit",1,$34.63,https://www.flinnsci.com/build-a-model-catapult-flinn-stem-design-challenge-small-size-lab-kit/ap10240/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8054_2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP10162,"Build a Model Catapult: Flinn STEM Design Challenge™, Full-Size Lab Kit, Refill",1,$48.08,https://www.flinnsci.com/build-a-model-catapult-flinn-stem-design-challenge-full-size-lab-kit-refill/ap10162/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8054_2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP8048,Cooking with Solar Energy—Flinn STEM Design Challenge™,1,$62.93,https://www.flinnsci.com/cooking-with-solar-energy---flinn-stem-design-challenge/ap8048/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8048_a.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP8347,Trebuchet—Flinn STEM Design Challenge™,1,$174.83,https://www.flinnsci.com/trebuchet---flinn-stem-design-challenge/ap8347/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8347_a.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP8325,Rig Apparatus for Egg Elimination—Flinn STEM Design Challenge™,1,$58.22,https://www.flinnsci.com/rig-apparatus-for-egg-elimination---flinn-stem-design-challenge/ap8325/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8325_b.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP8318,Introducing STEM through Electricity—Flinn STEM Design Challenge™,1,$58.22,https://www.flinnsci.com/introducing-stem-through-electricity---flinn-stem-design-challenge/ap8318/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8318_e2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP8315,"Marble Down—Flinn STEM Design Challenge™, Full-Size Lab Kit",1,$88.17,https://www.flinnsci.com/marble-down---flinn-stem-design-challenge/ap8315/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8315.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP7992,Make a Wire Maze Game—Flinn STEM Design Challenge™,1,$75.20,https://www.flinnsci.com/make-a-wire-maze-game---flinn-stem-design-challenge/ap7992/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap7992_a.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP7991,Build an Electronic Quiz Board—Flinn STEM Design Challenge™,1,$68.19,https://www.flinnsci.com/build-an-electronic-quiz-board---flinn-stem-design-challenge/ap7991/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap7991_e2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP7936,Build a Simple Motor—Flinn STEM Design Challenge™,1,$64.33,https://www.flinnsci.com/build-a-simple-motor---flinn-stem-design-challenge/ap7936/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap7936_e2.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,FB2132,Biomimicry—Flinn STEM Design Challenge™,1,$65.00,https://www.flinnsci.com/biomimicry---flinn-stem-design-challenge/fb2132/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/fb2132.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,FB2130,Beaks—Flinn STEM Design Challenge™,1,$96.21,https://www.flinnsci.com/beaks---flinn-stem-design-challenge/fb2130/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/fb2130.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,FB2129,Fish Fitness—Flinn STEM Design Challenge™,1,$33.74,https://www.flinnsci.com/fish-fitness---flinn-stem-design-challenge/fb2129/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/fb2129.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,FB2131,"Broken Bones—Flinn STEM Design Challenge™, Full-Size Lab Kit",1,$115.00,https://www.flinnsci.com/broken-bones---flinn-stem-design-challenge/fb2131/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/fb2131_a.jpg?format=webp&height=880&upscale=false
STEM Education,Flinn STEM Design Challenge™ Kits,AP8052,Biofuels—Flinn STEM Design Challenge™,1,$55.59,https://www.flinnsci.com/biofuels---flinn-stem-design-challenge/ap8052/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap8052_e2.jpg?format=webp&height=880&upscale=false
